slug,product_code,display_name,bu,family,family_source,in_scope,scope_source,custom_override
ibi-iway-service-manager-edi-add-on,sm-edi,ibi™ iWay® Service Manager EDI Add-on,ibi,data_management,taxonomy_rule,true,default,false
ibi-omni-healthdata-business-release,ohd-br,ibi™ Omni-HealthData® Business Release,ibi,data_management,taxonomy_rule,true,default,false
tibco-iway-business-activity-monitor,sm-bam,TIBCO iWay® Business Activity Monitor,ibi,data_management,taxonomy_rule,true,default,false
tibco-iway-trading-partner-manager,sm-tpm,TIBCO iWay® Trading Partner Manager,ibi,data_management,taxonomy_rule,true,default,false
tibco-omni-healthdata-reference-data,ohrd,TIBCO Omni-HealthData® Reference Data,ibi,data_management,taxonomy_rule,true,default,false
ibi-ai-assistant,ibiai,ibi™ AI Assistant,ibi,general,taxonomy_rule,true,default,false
ibi-data-intelligence,ibi-di,ibi™ Data Intelligence,ibi,general,taxonomy_rule,true,default,false
ibi-data-quality,tdq,ibi™ Data Quality,ibi,general,taxonomy_rule,true,default,false
ibi-omni-insurance,oin,ibi Omni-Insurance™,ibi,general,taxonomy_rule,true,default,false
ibi-open-data-hub-for-mainframe-connectors,odh-mf-cnct,ibi™ Open Data Hub for Mainframe Connectors,ibi,general,taxonomy_rule,true,default,false
ibi-web-query-for-ibm-i,wq,ibi™ Web Query for IBM i,ibi,general,taxonomy_rule,true,default,false
ibi-webfocus-container-edition,wfce,ibi™ WebFOCUS® - Container Edition,ibi,webfocus,taxonomy_rule,true,default,false
ibi-webfocus-dsml-services,dsml,ibi™ WebFOCUS® DSML Services,ibi,webfocus,taxonomy_rule,true,default,false
ibi-webfocus-dsml-services-container-edition,dsmlce,ibi™ WebFOCUS® DSML Services - Container Edition,ibi,webfocus,taxonomy_rule,true,default,false
spotfire,spotfire,Spotfire®,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-data-science-author,dsc-author,Spotfire® Data Science - Author,tibco,analytics,taxonomy_rule,true,default,false
spotfire-data-science-for-life-science-author,dscls-author,Spotfire® Data Science for Life Science - Author,tibco,analytics,taxonomy_rule,true,default,false
spotfire-data-science-for-life-science-operations,dscls-operations,Spotfire® Data Science for Life Science - Operations,tibco,analytics,taxonomy_rule,true,default,false
spotfire-data-science-operations,dsc-operations,Spotfire® Data Science - Operations,tibco,analytics,taxonomy_rule,true,default,false
spotfire-data-science-workbench,dsc-stat,Spotfire® Data Science - Workbench,tibco,analytics,taxonomy_rule,true,default,false
spotfire-data-streams,sfire-sfds,Spotfire® Data Streams,tibco,analytics,taxonomy_rule,true,default,false
spotfire-desktop,spd,Spotfire® Desktop,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-enterprise-runtime-for-r,enterprise-runtime-for-r,Spotfire® Enterprise Runtime for R,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-enterprise-runtime-for-r-server-edition,terrsrv,Spotfire Enterprise Runtime for R - Server Edition,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-for-android,sfire-android,Spotfire® for Android,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-for-apple-ios,sf-ipad,Spotfire® for Apple iOS,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-liveview-web-enterprise-edition,ldm-web,Spotfire LiveView™ Web Enterprise Edition,tibco,analytics,taxonomy_rule,true,default,false
spotfire-on-kubernetes,sf-kbn,Spotfire on Kubernetes,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-server,spotfire-server,Spotfire® Server,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-service-for-python,sf-pysrv,Spotfire® Service for Python,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-service-for-r,sf-rsrv,Spotfire® Service for R,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-service-for-statistica,stat-sts,Spotfire® Service for Statistica®,tibco,analytics,taxonomy_rule,false,scope_rule,false
spotfire-statistica-all-servers,stat-all-servers,Spotfire Statistica® - All Servers,tibco,analytics,taxonomy_rule,true,default,false
spotfire-statistica-estore-edition,stat-estore,Spotfire Statistica® - Estore Edition,tibco,analytics,taxonomy_rule,true,default,false
spotfire-statistica-integration,stat-ext,Spotfire Statistica® Integration,tibco,analytics,taxonomy_rule,true,default,false
spotfire-statistics-services,sf-statsvcs,Spotfire® Statistics Services,tibco,analytics,taxonomy_rule,true,default,false
tibco-activematrix-spotfire-enabler,activematrix-spotfire-enabler,TIBCO ActiveMatrix® Spotfire Enabler,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-cloud-spotfire-14-6-0,sfire-cloud,TIBCO Cloud™ Spotfire® 14.6.0,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-cloud-spotfire-14-6-2,sfire-cloud,TIBCO Cloud™ Spotfire® 14.6.2,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-data-science-for-tibco-spotfire-analyst,stat-ext,TIBCO® Data Science for TIBCO Spotfire® Analyst,tibco,analytics,taxonomy_rule,true,default,false
tibco-data-science-service-for-tibco-spotfire,stat-sts,TIBCO® Data Science Service for TIBCO Spotfire®,tibco,analytics,taxonomy_rule,true,default,false
tibco-silver-fabric-enabler-for-spotfire-web-player,silver-fabric-spotfire,TIBCO Silver® Fabric Enabler for Spotfire® Web Player,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-analytics-server,spotfire-analytics-server,TIBCO Spotfire® Analytics Server,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-automation-services,sfire-autsvcs,TIBCO Spotfire® Automation Services,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-business-author,spotfire-business-author,TIBCO Spotfire® Business Author,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-capability-matrix,sf-cap-mtx,TIBCO Spotfire® Capability Matrix,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-clinical,spotfire-clinical,TIBCO Spotfire® Clinical,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-clinical-graphics,spotfire-clinical-graphics,TIBCO Spotfire® Clinical Graphics,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-cisco-information-server,spotfire-connector-for-composite-information-services,TIBCO Spotfire® Connector for Cisco Information Server,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-cloudera-hive,spotfire-connector-for-cloudera-hive,TIBCO Spotfire® Connector for Cloudera Hive,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-cloudera-impala,spotfire-connector-for-cloudera-impala,TIBCO Spotfire® Connector for Cloudera Impala,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-hortonworks,spotfire-connector-for-hortonworks,TIBCO Spotfire® Connector for Hortonworks,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-hp-vertica,spotfire-connector-for-hp-vertica,TIBCO Spotfire Connector for HP Vertica,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-ibm-db2,spotfre-connector-for-ibm-db2,TIBCO Spotfire Connector for IBM DB2,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-ibm-netezza,spotfire-connector-for-ibm-netezza,TIBCO Spotfire® Connector for IBM Netezza,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-oracle-essbase,spc-oracleess,TIBCO Spotfire® Connector for Oracle Essbase,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-oracle-mysql,spotfire-connector-for-oracle-mysql,TIBCO Spotfire® Connector for Oracle MySQL,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-pipeline-pilot,spotfire-connector-for-pipeline-pilot,TIBCO Spotfire® Connector for Pipeline Pilot,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-pivotal-greenplum,spotfire-connector-for-pivotal-greenplum,TIBCO Spotfire® Connector for Pivotal Greenplum,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-pivotal-hawq,spc-pivotal-hawq,TIBCO Spotfire Connector for Pivotal HAWQ,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-postgresql,spotfire-connector-for-postgresql,TIBCO Spotfire® Connector for PostgreSQL,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-sap-hana,spotfire-connector-for-sap-hana,TIBCO Spotfire® Connector for SAP HANA,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connector-for-teradata-aster,spotfire-connector-for-teradata-aster,TIBCO Spotfire Connector for Teradata Aster,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-connectors,spc,TIBCO Spotfire® Connectors,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-consumer,spotfire-consumer,TIBCO Spotfire® Consumer,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-data-science-package-for-notebooks,sfire-dscpn,TIBCO Spotfire® Data Science Package for Notebooks,tibco,analytics,taxonomy_rule,true,default,false
tibco-spotfire-decisionsite,spotfire-decisionsite,TIBCO Spotfire DecisionSite®,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-deployment-kit,sfire-deploy,TIBCO Spotfire® Deployment Kit,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-deployment-kit-for-apple-ios,sf-ipad-deploykit,TIBCO Spotfire® Deployment Kit for Apple iOS,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-developer,sfire-dev,TIBCO Spotfire® Developer,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-extension-for-openspirit,os-sfext,TIBCO Spotfire® Extension for OpenSpirit®,tibco,analytics,taxonomy_rule,false,scope_rule,false
tibco-spotfire-general,spotfire,TIBCO Spotfire® General,tibco,analytics,taxonomy_rule,false,scope_rule,false
